Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-Regression_Full,,,,08-05-2026 09:32:34,08-05-2026 09:32:41,6.704s,PASSED
,,,,,,,
Test Cases/Auth/TC-AUTH-001_Login_Valid,,,,08-05-2026 09:32:34,08-05-2026 09:32:36,1.275s,PASSED
"req = EQUALS, application/json)]).build()",,,,08-05-2026 09:32:35,08-05-2026 09:32:35,0.025s,PASSED
response = sendRequest(req),,,,08-05-2026 09:32:35,08-05-2026 09:32:36,1.029s,PASSED
"verifyResponseStatusCode(response, 200)",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.014s,PASSED
"assert response.getElapsedTime() < 2000 : ""Response to slow!""",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.006s,PASSED
"token = getElementPropertyValue(response, ""accessToken"")",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.045s,PASSED
"assert token != null && token != """" : ""Token tidak boleh kosong!""",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.001s,PASSED
println(TC-AUTH-001 Passed - Token: $token),,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.017s,PASSED
,,,,,,,
Test Cases/Auth/TC-AUTH-002-Login-Invalid-Password,,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.311s,PASSED
"req = EQUALS, application/json)]).build()",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.004s,PASSED
response = sendRequest(req),,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.225s,PASSED
"verifyResponseStatusCode(response, 400)",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.005s,PASSED
"message = getElementPropertyValue(response, ""message"")",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.018s,PASSED
"assert message == ""Invalid credentials"" : ""Wrong error message!""",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.001s,PASSED
println(✅ TC-AUTH-002 PASSED — Error message: $message),,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.001s,PASSED
,,,,,,,
Test Cases/Auth/TC-AUTH-003_Login_Unregistered_Username,,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.297s,PASSED
"req = EQUALS, application/json)]).build()",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.003s,PASSED
response = sendRequest(req),,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.216s,PASSED
"verifyResponseStatusCode(response, 400)",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.008s,PASSED
"message = getElementPropertyValue(response, ""message"")",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.017s,PASSED
"assert message != null : ""Error message harus ada!""",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.001s,PASSED
println(TC-AUTH-003 PASSED — Error message: $message),,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.001s,PASSED
,,,,,,,
Test Cases/Auth/TC-AUTH-004_Login_Blank_Username,,,,08-05-2026 09:32:36,08-05-2026 09:32:37,0.298s,PASSED
"req = EQUALS, application/json)]).build()",,,,08-05-2026 09:32:36,08-05-2026 09:32:36,0.002s,PASSED
response = sendRequest(req),,,,08-05-2026 09:32:36,08-05-2026 09:32:37,0.223s,PASSED
"verifyResponseStatusCode(response, 400)",,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.003s,PASSED
"message = getElementPropertyValue(response, ""message"")",,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.015s,PASSED
"assert message != null : ""Error message harus ada!""",,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.001s,PASSED
println(TC-AUTH-004 PASSED — Error message: $message),,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.001s,PASSED
,,,,,,,
Test Cases/Auth/TC-AUTH-005_Login_Blank_Password,,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.284s,PASSED
"req = EQUALS, application/json)]).build()",,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.002s,PASSED
response = sendRequest(req),,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.217s,PASSED
"verifyResponseStatusCode(response, 400)",,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.003s,PASSED
"message = getElementPropertyValue(response, ""message"")",,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.017s,PASSED
"assert message != null : ""Error message harus ada!""",,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.001s,PASSED
println(TC-AUTH-005 PASSED — Error message: $message),,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.001s,PASSED
,,,,,,,
Test Cases/User/TC-USER-001_getUser_ValidToken,,,,08-05-2026 09:32:37,08-05-2026 09:32:38,0.682s,PASSED
"loginRequest = EQUALS, application/json)]).build()",,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.002s,PASSED
loginResponse = sendRequest(loginRequest),,,,08-05-2026 09:32:37,08-05-2026 09:32:37,0.244s,PASSED
